16:58:16.391	SERVER	admin	OK	Server was started (port: 1984).
16:58:38.397	127.0.0.1:52249	admin	REQUEST	ADD TO a.xml [...]	27.26 ms
16:58:38.402	127.0.0.1:52249	admin	ERROR	No database opened.	4.44 ms
16:58:38.466	127.0.0.1:52249	admin	REQUEST	EXIT	63.33 ms
16:58:38.467	127.0.0.1:52249	admin	OK		0.73 ms
16:59:26.318	127.0.0.1:52357	admin	REQUEST	ADD TO a.xml [...]	0.38 ms
16:59:26.318	127.0.0.1:52357	admin	ERROR	No database opened.	0.47 ms
16:59:26.319	127.0.0.1:52357	admin	REQUEST	EXIT	0.49 ms
16:59:26.320	127.0.0.1:52357	admin	OK		0.31 ms
16:59:56.323	127.0.0.1:52427	admin	REQUEST	ADD TO a.xml [...]	0.29 ms
16:59:56.324	127.0.0.1:52427	admin	ERROR	No database opened.	0.46 ms
16:59:56.325	127.0.0.1:52427	admin	REQUEST	EXIT	0.57 ms
16:59:56.325	127.0.0.1:52427	admin	OK		0.31 ms
17:04:48.107	127.0.0.1:53081	admin	REQUEST	OPEN db /Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/db	6.38 ms
17:04:48.388	127.0.0.1:53081	admin	OK	Database 'db' was opened in 277.25 ms.	280.83 ms
17:04:48.389	127.0.0.1:53081	admin	REQUEST	ADD TO a.xml [...]	0.7 ms
17:04:48.606	127.0.0.1:53081	admin	OK	Resource(s) added in 207.45 ms.	215.72 ms
17:04:48.607	127.0.0.1:53081	admin	REQUEST	EXIT	0.85 ms
17:04:48.609	127.0.0.1:53081	admin	OK		1.67 ms
17:06:11.087	127.0.0.1:53263	admin	REQUEST	OPEN db /Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/db	0.86 ms
17:06:11.096	127.0.0.1:53263	admin	OK	Database 'db' was opened in 7.61 ms.	9.14 ms
17:06:11.103	127.0.0.1:53263	admin	REQUEST	XQUERY collection('database')	4.1 ms
17:06:11.737	127.0.0.1:53263	admin	ERROR	Stopped at ., 1/11: [FODC0002] Resource '/Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/bin/database' does not exist.	633.78 ms
17:06:11.737	127.0.0.1:53263	admin	REQUEST	EXIT	0.39 ms
17:06:11.738	127.0.0.1:53263	admin	OK		0.41 ms
17:06:21.506	127.0.0.1:53288	admin	REQUEST	OPEN db /Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/db	0.72 ms
17:06:21.511	127.0.0.1:53288	admin	OK	Database 'db' was opened in 3.29 ms.	4.78 ms
17:06:21.512	127.0.0.1:53288	admin	REQUEST	XQUERY collection('/Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/db')	0.52 ms
