FileName,Genre,W,H,# frames,FPS,Length (s),,BB available?,Portrait?,,Train 1?,Test 1?,,Train 2?,Test 2?,,Train 3?,Test 3?,
10157___9040036fdf2c4e8296c38232cf30c6f4.mp4,archery,480,270,221,30,7.37,,1,0,,1,0,,1,0,,1,0,
10663___26dbed1f45c54e7b972f13fcf91db418.mp4,archery,480,270,293,30,9.77,,0,0,,1,0,,1,0,,0,1,
10821___d8b0d26588cf4d4590e04890154b9325.mp4,archery,480,270,711,30,23.70,,0,0,,0,1,,1,0,,0,1,
1114___449ccc63f10f489a9467916fbb768403.mp4,archery,480,270,421,30,14.03,,0,0,,1,0,,0,1,,1,0,
11151___f78e6a60418f4e29ad7b3ae9be1a55be.mp4,archery,480,270,358,30,11.93,,0,0,,1,0,,1,0,,0,1,
1149___e5db4057ca864c4ca0a633894db9ee1c.mp4,archery,480,270,651,30,21.70,,1,0,,1,0,,1,0,,1,0,
1175___0cef729c57b94a0c8e11022e3de15558.mp4,archery,270,480,390,30,13.00,,0,1,,1,0,,1,0,,0,1,
1416___3e725e46f41a4838970eab6320dbd3ae.mp4,archery,480,270,135,30,4.50,,0,0,,0,1,,1,0,,0,1,
1570___89a551f54cc84f25a2bae0f9e92d4f82.mp4,archery,360,480,888,30,29.60,,1,1,,1,0,,0,1,,0,1,
1706___8aead148f6464a75bd611780052e3297.mp4,archery,270,480,92,30,3.07,,1,1,,1,0,,0,1,,1,0,
1714___ed677e1f5276444a854c8a51c547bc5e.mp4,archery,480,270,250,30,8.33,,0,0,,1,0,,0,1,,0,1,
1841___599e02cb55f643d08c8a72f90f01e15b.mp4,archery,270,480,325,30,10.83,,0,1,,1,0,,1,0,,0,1,
1939___51323a75e10f477f8ab7445351523097.mp4,archery,480,360,146,30,4.87,,1,0,,1,0,,0,1,,1,0,
1977___96cc50e98c784503b5a4b0170f14daa7.mp4,archery,480,360,280,30,9.33,,0,0,,1,0,,1,0,,0,1,
20375___8d05c247494f4580b99e93dd92754134.mp4,archery,270,480,500,30,16.67,,0,1,,1,0,,0,1,,1,0,
20518___16e93bf055e4406b8495a265be2989ec.mp4,archery,270,480,304,30,10.13,,0,1,,1,0,,0,1,,1,0,
20808___90b550cd88034a43b99397963e17ee4e.mp4,archery,480,270,295,30,9.83,,0,0,,0,1,,0,1,,0,1,
20843___eb21a6079bba48f788fce3d60483921b.mp4,archery,270,480,245,30,8.17,,1,1,,0,1,,1,0,,1,0,
